id,left,top,right,bottom,a_elev_m,a_dem_m,a_celev_m,a_ss_m,a_crh100_m,a_crh095_m,a_crh090_m,a_crh085_m,a_crh080_m,a_crh075_m,a_crh070_m,a_crh065_m,a_crh060_m,a_crh055_m,a_crh050_m,a_crh045_m,a_crh040_m,a_crh035_m,a_crh030_m,a_crh025_m,a_crh020_m,a_crh015_m,a_crh010_m,a_crh005_m,a_crh000_m,a_mfrac_m,a_rv_m,a_cv_m,a_fhd_m,a_pai_m,a_gap_m,a_pavd01_m,a_pavd02_m,a_pavd03_m,a_pavd04_m,a_pavd05_m,a_pavd06_m,a_pavd07_m,a_rg_m,a_rxrtrn_m,b_elev_m,b_dem_m,b_celev_m,b_ss_m,b_crh100_m,b_crh095_m,b_crh090_m,b_crh085_m,b_crh080_m,b_crh075_m,b_crh070_m,b_crh065_m,b_crh060_m,b_crh055_m,b_crh050_m,b_crh045_m,b_crh040_m,b_crh035_m,b_crh030_m,b_crh025_m,b_crh020_m,b_crh015_m,b_crh010_m,b_crh005_m,b_crh000_m,b_mfrac_m,b_rv_m,b_cv_m,b_fhd_m,b_pai_m,b_gap_m,b_pavd01_m,b_pavd02_m,b_pavd03_m,b_pavd04_m,b_pavd05_m,b_pavd06_m,b_pavd07_m,b_rg_m,b_rxrtrn_m,gedi_both,a_gedi_num,b_gedi_num,isburnt,iscontrol
11,336184.336,439078.1276,336684.336,438578.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0
12,336184.336,438578.1276,336684.336,438078.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0
13,336184.336,438078.1276,336684.336,437578.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.307865,180.893775,193.114931,27.601509,19.803636,17.278182,15.849091,14.68,13.708182,12.903636,12.134546,11.411818,10.745455,10.098182,9.432727,8.692727,7.913636,7.070909,6.108182,4.925455,3.557273,1.936364,0.241818,-1.971818,-5.029091,0.114644,3974.097756,0.708352,2.768937,2.863048,0.291386,0.131301,0.165516,0.180146,0.110843,0.039983,0.009945,0.000526,1185.40835,412050.7164,0,,11,0,0
14,336184.336,437578.1276,336684.336,437078.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.743465,347.151507,363.349195,27.608681,20.598572,17.824286,16.411429,15.335714,14.347143,13.448572,12.598571,11.778571,10.947143,10.137143,9.382857,8.66,7.911429,7.092857,6.172857,5.111429,3.872857,2.361429,0.487143,-1.872857,-5.28,0.796429,4167.409703,0.718339,2.824196,2.782795,0.281308,0.105296,0.159623,0.187697,0.110403,0.037791,0.008253,0.000144,1151.52992,411923.8565,0,,7,0,0
15,336184.336,437078.1276,336684.336,436578.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.775757,364.434547,392.45005,27.602801,17.6675,15.1875,13.8125,12.645,11.5725,10.6675,9.8625,9.1425,8.4675,7.795,7.1075,6.39,5.65,4.89,4.095,3.195,2.105,0.8025,-0.645,-2.7325,-6.8175,0.750972,3729.510864,0.640071,2.672752,2.378766,0.359615,0.126046,0.163154,0.15266,0.071849,0.022194,0.002875,0,1509.734314,411894.3376,0,,4,0,0
16,336184.336,436578.1276,336684.336,436078.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.482298,259.502236,271.405522,27.612019,20.92,18.15,16.542727,15.428182,14.47,13.564546,12.744545,12.000909,11.310909,10.65,9.977273,9.253636,8.456364,7.623636,6.772727,5.857273,4.854545,3.559091,1.977273,-0.078182,-3.117273,0.651804,4033.408603,0.82048,2.804425,4.036458,0.179106,0.256852,0.274555,0.227882,0.120082,0.046953,0.009009,0.000385,595.090523,412019.9507,0,,11,0,0
17,336184.336,436078.1276,336684.336,435578.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0
18,336184.336,435578.1276,336684.336,435078.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.695564,167.147354,180.83239,27.621578,22.135,18.78,17.32,15.985001,14.66,12.975,9.96,4.775,3.25,2.39,1.735,1.175,0.69,0.24,-0.225,-0.69,-1.175,-1.74,-2.43,-3.425,-6.06,0.936951,4667.568115,0.33452,2.830017,0.830766,0.665373,0.040865,0.047842,0.039765,0.018371,0.01747,0.016863,0.005409,6167.42627,412041.697,0,,2,0,0
19,336184.336,435078.1276,336684.336,434578.1276,225.047302,245.099167,238.944977,27.614277,13.89,12.88,12.1,11.28,10.49,9.93,9.48,9.04,8.59,8.14,7.58,6.98,6.27,5.3,4.4,3.62,2.76,1.83,0.59,-0.41,-1.41,0.729442,1179.851929,0.805184,2.547666,3.286849,0.192344,0.287578,0.283099,0.184697,0.045386,0,0,0,187.321777,422902.5259,264.814526,271.930377,282.978436,27.62746,18.16,14.526,12.676,11.06,9.704,8.61,7.694,6.886,6.138,5.426,4.702,3.946,3.172,2.37,1.524,0.608,-0.398,-1.436,-2.592,-4.168,-7.74,0.812961,6405.437231,0.46919,2.541883,1.456334,0.530653,0.077908,0.101158,0.093108,0.042913,0.013572,0.001562,0,5228.200781,411943.7051,1,1,5,0,0
20,336184.336,434578.1276,336684.336,434078.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.496655,288.467822,303.117487,27.622204,18.616001,15.612,14.43,13.598,12.914,12.28,11.68,11.12,10.548,9.988,9.426,8.836,8.184,7.426,6.542,5.464,4.11,2.446,0.58,-1.518,-5.506,0.771633,9305.802246,0.761198,2.687728,3.16178,0.238548,0.14983,0.204895,0.216295,0.10914,0.024967,0.002143,0,2123.853601,411923.1915,0,,5,0,0
