LongX_2,PavdS01,PavdS02,PavdS03,PavdS04,PavdS05,PavdS06,PavdS07,PavdS08,PavdS09,PavdS10,PavdS11,PavdS12,PavdS13,PavdS14,PavdS15,PavdS16,PavdS17,PavdS18,PavdS19,PavdS20,PavdS21,PavdS22,PavdS23,PavdS24,PavdS25,PavdS26,PavdS27,PavdS28,PavdS29,PavdS30,CanpyRH095,pavds
128.61,0.109908088,0.157929325,0.161001257,0.075361745,0.020559575,0.007235675,0.013587872,0.002503768,,,,,,,,,,,,,,,,,,,,,,,14.93323515,"[0.10990808843908947, 0.15792932538384133, 0.16100125655771771, 0.07536174481614459, 0.020559575317873103, 0.007235674985657538, 0.013587871566415, 0.002503767842427, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.615,0.136439721,0.164186338,0.1541558,0.067763523,0.032872701,0.015487607,0.00251897,,,,,,,,,,,,,,,,,,,,,,,,13.74624991,"[0.13643972136924282, 0.16418633848297753, 0.15415579957309472, 0.06776352299493743, 0.032872701213866526, 0.015487606611309665, 0.0025189695312291998, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.62,0.126925152,0.163740048,0.159026297,0.098978968,0.050719375,0.023996344,0.013870195,0.007278187,0.001100675,,,,,,,,,,,,,,,,,,,,,,17.73999987,"[0.12692515150568365, 0.16374004778225676, 0.15902629698551185, 0.09897896773040739, 0.05071937528454917, 0.023996343802926763, 0.013870195266049908, 0.00727818674931775, 0.0011006751592505001, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.625,0.174670071,0.204036029,0.181440745,0.091967734,0.041100774,0.021584207,0.01201983,0.015868368,0.012579083,0.001530643,,,,,,,,,,,,,,,,,,,,,17.09000006,"[0.17467007083663108, 0.20403602915272737, 0.18144074508584007, 0.09196773431257405, 0.04110077405047984, 0.021584207490377625, 0.012019830156835833, 0.015868367889198, 0.012579082511365, 0.001530643319711, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.63,0.160685882,0.197707568,0.176802448,0.077802739,0.029635425,0.018381374,0.006406514,0.010579738,0.003030915,,,,,,,,,,,,,,,,,,,,,,15.40926836,"[0.16068588217674956, 0.19770756761384456, 0.17680244788345764, 0.07780273882785765, 0.02963542494445955, 0.018381374431191998, 0.006406514010450251, 0.010579737834632, 0.003030914580449, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.635,0.156141578,0.176647512,0.150475036,0.067918032,0.022010041,0.007346468,,,,,,,,,,,,,,,,,,,,,,,,,13.39266666,"[0.15614157792491223, 0.1766475121801098, 0.15047503592747194, 0.06791803211100546, 0.02201004125042039, 0.007346467805161429, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.64,0.149568918,0.167838435,0.136433733,0.074860826,0.043895627,0.044047472,0.016883903,0.005844426,,,,,,,,,,,,,,,,,,,,,,,12.9625806,"[0.14956891834135017, 0.16783843488777958, 0.13643373280619045, 0.0748608261195478, 0.043895627223023766, 0.0440474719701645, 0.016883903183042667, 0.005844425875694, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.645,0.120798354,0.140160889,0.129874844,0.072018246,0.047050324,0.020087356,0.009285249,0.000138938,,,,,,,,,,,,,,,,,,,,,,,11.89000001,"[0.12079835370241203, 0.14016088905918878, 0.1298748439755933, 0.07201824632268308, 0.0470503242637885, 0.020087355930757143, 0.00928524939809, 0.000138937932206, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.65,0.11746569,0.134267577,0.128935336,0.063681137,0.070393597,0.056651648,0.017865393,0.001136428,,,,,,,,,,,,,,,,,,,,,,,10.83857145,"[0.11746569014420467, 0.1342675765322166, 0.12893533561488282, 0.06368113714727643, 0.070393596882544, 0.05665164755191634, 0.017865393310785502, 0.001136428472819, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.655,0.084922127,0.108282683,0.118590695,0.070447861,0.053386566,0.069618031,0.010904807,,,,,,,,,,,,,,,,,,,,,,,,12.89571435,"[0.08492212715957828, 0.10828268328415515, 0.11859069547305501, 0.070447860751301, 0.05338656622916466, 0.069618031382561, 0.010904806666076, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.66,0.070237746,0.092626799,0.116673862,0.085147436,0.031372215,0.026542456,0.008364889,0.002775437,,,,,,,,,,,,,,,,,,,,,,,11.11571419,"[0.0702377463458105, 0.09262679947174293, 0.11667386197768782, 0.08514743644211972, 0.0313722147606314, 0.026542456354946, 0.008364888781215999, 0.002775437198579, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
