LongX_2,PavdS01,PavdS02,PavdS03,PavdS04,PavdS05,PavdS06,PavdS07,PavdS08,PavdS09,PavdS10,PavdS11,PavdS12,PavdS13,PavdS14,PavdS15,PavdS16,PavdS17,PavdS18,PavdS19,PavdS20,PavdS21,PavdS22,PavdS23,PavdS24,PavdS25,PavdS26,PavdS27,PavdS28,PavdS29,PavdS30,pavds
128.615,0.408968667,0.269370534,0.108906721,0.27562413,0.156747435,0.070498195,3.28302919,1,,,,,,,,,,,,,,,,,,,,,,,"[0.40896866683434063, 0.26937053378012693, 0.10890672122499172, 0.2756241301286169, 0.15674743476193004, 0.07049819530872886, 3.2830291904187905, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.62,0.711019068,0.415639326,0.232657734,0.055605827,-0.114875713,-0.273589543,-0.528754328,-1,-1,,,,,,,,,,,,,,,,,,,,,,"[0.711019067633894, 0.41563932582461105, 0.23265773384293198, 0.0556058272248694, -0.11487571304551465, -0.2735895425074487, -0.5287543282980858, -1.0, -1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.625,0.09907949,0.033478543,-0.004718278,0.033684857,0.045386629,0.139054502,0.99285982,0.102506685,-0.302711124,-1,,,,,,,,,,,,,,,,,,,,,"[0.09907948954909344, 0.033478543040176674, -0.004718278399808517, 0.033684856831662835, 0.04538662884659245, 0.13905450176641102, 0.9928598198445993, 0.10250668462418078, -0.3027111237566562, -1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.63,0.267575307,0.070317914,-0.05721529,0.059360371,0.339757662,0.177075108,0.582601793,-0.737962085,-1,,,,,,,,,,,,,,,,,,,,,,"[0.2675753071926253, 0.0703179142924312, -0.05721528988608887, 0.05936037054694417, 0.33975766230623833, 0.17707510791724876, 0.5826017932939507, -0.7379620849888979, -1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.635,0.349279291,0.231528311,0.1515041,0.211011227,0.938875015,2.497392107,1,1,1,,,,,,,,,,,,,,,,,,,,,,"[0.3492792913124005, 0.2315283114184056, 0.15150409968554893, 0.21101122689920326, 0.9388750146636548, 2.4973921072669225, 1.0, 1.0, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.64,0.311831288,0.280883026,0.273889552,0.027520129,-0.176631989,-0.584330759,-0.379334521,-0.187916032,,,,,,,,,,,,,,,,,,,,,,,"[0.3118312884640817, 0.28088302557631667, 0.2738895524861207, 0.02752012922934589, -0.17663198920884046, -0.584330759014856, -0.37933452112139965, -0.18791603194671144, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.645,0.395935687,0.273150395,0.109839042,-0.063466948,-0.343220022,0.04879814,0.311899012,157.0326493,1,1,,,,,,,,,,,,,,,,,,,,,"[0.3959356871705879, 0.2731503950759071, 0.10983904164761807, -0.06346694822378975, -0.34322002185303546, 0.048798139945955325, 0.31189901238382145, 157.0326493115838, 1.0, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.65,0.202808347,0.106195273,-0.086825985,-0.1104542,-0.508666355,-0.504744961,-0.359576679,1.065966651,,,,,,,,,,,,,,,,,,,,,,,"[0.20280834666491399, 0.1061952729423268, -0.08682598495021612, -0.11045419988851787, -0.5086663547781201, -0.5047449607264342, -0.3595766787677855, 1.0659666505194472, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.655,0.561939971,0.194171495,-0.122950564,-0.143524939,-0.25956894,-0.18135031,4.83538337,1,1,1,,,,,,,,,,,,,,,,,,,,,"[0.5619399707479579, 0.19417149528292454, -0.12295056441580128, -0.14352493910148223, -0.25956894043720946, -0.18135031022066317, 4.835383369657468, 1.0, 1.0, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.66,1.464027671,1.092702861,0.473431383,-0.103130538,-0.211097675,-0.21615371,0.091115361,-0.31254819,,,,,,,,,,,,,,,,,,,,,,,"[1.464027670546751, 1.092702860687888, 0.47343138250935984, -0.1031305378956188, -0.21109767455806702, -0.2161537097468764, 0.09111536052401219, -0.3125481904485286, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
