LongX_2,PavdS01,PavdS02,PavdS03,PavdS04,PavdS05,PavdS06,PavdS07,PavdS08,PavdS09,PavdS10,PavdS11,PavdS12,PavdS13,PavdS14,PavdS15,PavdS16,PavdS17,PavdS18,PavdS19,PavdS20,PavdS21,PavdS22,PavdS23,PavdS24,PavdS25,PavdS26,PavdS27,PavdS28,PavdS29,PavdS30,pavds
128.61,0.053256874,0.036085843,0.02083414,0.01948993,0.018420397,0.007698695,0.000687746,0.003887218,0.002663469,,,,,,,,,,,,,,,,,,,,,,"[0.05325687366283646, 0.036085843205004964, 0.020834139586444755, 0.019489929861452565, 0.01842039690061169, 0.007698695003622732, 0.0006877456791695973, 0.003887218469753399, 0.0026634687557819995, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.615,0.055799571,0.044226962,0.016788603,0.018677262,0.005152712,0.001091848,0.008269851,0.00330934,,,,,,,,,,,,,,,,,,,,,,,"[0.05579957095162813, 0.044226961636564255, 0.016788602689322724, 0.01867726207993016, 0.005152711588968961, 0.0010918483157488692, 0.008269850500801, 0.0033093402162191997, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.62,0.090246203,0.068056803,0.036998698,0.005503807,-0.005826424,-0.006565149,-0.007333926,-0.007278187,-0.001100675,,,,,,,,,,,,,,,,,,,,,,"[0.09024620288286192, 0.0680568030707068, 0.03699869787808227, 0.0055038073785129565, -0.005826424401035639, -0.006565148722894185, -0.007333925781263508, -0.00727818674931775, -0.0011006751592505001, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.625,0.017306221,0.006830829,-0.000856088,0.00309792,0.001865426,0.003001381,0.011934006,0.001626614,-0.003807828,-0.001530643,,,,,,,,,,,,,,,,,,,,,"[0.0173062214579974, 0.006830828983736326, -0.0008560879483836825, 0.003097919963451462, 0.0018654255771367867, 0.0030013812185972974, 0.011934006404078707, 0.0016266137827184966, -0.0038078282028430003, -0.001530643319711, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.63,0.042995574,0.013902384,-0.010115803,0.004618399,0.010068863,0.003254884,0.003732447,-0.007807445,-0.003030915,,,,,,,,,,,,,,,,,,,,,,"[0.04299557428496176, 0.013902383794435369, -0.010115803308222149, 0.004618399406388751, 0.01006886270058156, 0.00325488386107068, 0.0037324465512511363, -0.007807445391080959, -0.003030914580449, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.635,0.05453702,0.0408989,0.022797585,0.014331467,0.020664678,0.018347011,0.012999931,0.013521397,0.001956963,,,,,,,,,,,,,,,,,,,,,,"[0.0545370196820133, 0.04089890021132306, 0.022797584843342267, 0.014331467284322746, 0.02066467780173609, 0.018347010712900704, 0.012999931356171121, 0.0135213967412712, 0.0019569631665948, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.64,0.046640269,0.047142967,0.037367774,0.00206018,-0.007753372,-0.025738293,-0.006404647,-0.001098261,,,,,,,,,,,,,,,,,,,,,,,"[0.046640268520562245, 0.04714296739927315, 0.03736777402229846, 0.0020601796090255475, -0.007753371953972417, -0.02573829272901182, -0.006404647328599565, -0.0010982613195671008, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.645,0.047828379,0.038285002,0.014265328,-0.004570778,-0.016148613,0.000980226,0.00289606,0.021817792,0.006008844,0.000454009,,,,,,,,,,,,,,,,,,,,,"[0.04782837918224024, 0.0382850022207078, 0.01426532839641309, -0.004570778310529863, -0.016148613322009894, 0.0009802256058533028, 0.002896060117001744, 0.021817791584181404, 0.0060088440310206, 0.000454009068198, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.65,0.023823022,0.014258582,-0.011194938,-0.007033849,-0.035806854,-0.028594634,-0.006423979,0.001211395,,,,,,,,,,,,,,,,,,,,,,,"[0.02382302240799923, 0.014258581937143494, -0.01119493750964888, -0.007033849051593391, -0.035806854325964095, -0.028594633618679803, -0.006423978791572462, 0.0012113948527258, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.655,0.047721138,0.021025411,-0.014580793,-0.010111025,-0.013857494,-0.012625252,0.052728921,0.067000356,0.026080493,0.00448375,,,,,,,,,,,,,,,,,,,,,"[0.047721137651907775, 0.021025410526531743, -0.014580792942874524, -0.010111024924160175, -0.013857494429685181, -0.012625251588179301, 0.052728920802473794, 0.06700035631656599, 0.026080492883920798, 0.0044837496243419995, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.66,0.102830004,0.101213569,0.055237068,-0.008781301,-0.006622602,-0.00573725,0.00076217,-0.000867458,,,,,,,,,,,,,,,,,,,,,,,"[0.10283000416711051, 0.10121356875913684, 0.05523706777880298, -0.00878130092070882, -0.006622601581705554, -0.005737250406916132, 0.0007621698570437607, -0.0008674578741194, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
